Date,Code,State,Venue,Tipster,Market_Id,Selection_Id,Bet_Type,Best_Bet,Bet_Text,Selection_Name,Win_Lose,Bsp,Tipster_Profit,Back_Profit,Lay_Profit
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959851,63404138,Back,TRUE,"BACK (WIN) #3 Zipping Minaj for 3 units at $1.28

Happy to pinch some petrol money here on Zipping Minaj who was brilliant on debut running 30.08, which was incredibly the best time ran throughout the entire meeting. This draw looks perfect for her right in line with the lure and she should explode the lids and lead all the way. Her opponents weren't in her league times wise and Zipping Minaj would have to do something majorly wrong to lose this. ",3. Zipping Minaj,1,1.49,0.49,0.49,-1
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959856,63404142,Back,FALSE,"BACK (WIN) #3 Johnny Football for 1 unit at $3.00+

Johnny Football had a great draw and map when he won here in 30.19 but was still impressive when winning and has a ton of upside. He was thrown in the deep end last start at Sandown Park in a hot field and was no hope off the dreaded Box 8. This is a much better set up.Â 
",3. Johnny Football,0,4.4,-1,-1,0.29
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959876,54139895,Lay,TRUE,"LAY (WIN) #1 Dragon Inn for 2 units at less than $2.90

Dragon Inn does look well drawn in the red which should ensure his price stays short on the Exchange. But this is a deceptively deep race and most of this field could win this without surprising. Dragon Inn did win very well at Bendigo over 500 metres last start but he doesn't scream middle distance dog, in his runs at Ballarat over 545m he didn't hit the line as well as you would expect to be a good form reference for a race like this and I'm keen to take him on. ",1. Dragon Inn,0,2.68,0.59,-1,0.59
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959881,52966422,Back,FALSE,"BACK (WIN) #1 Lupini Monelli for 1.5 units at $3.25+

Not willing to Lay Amron Tiger but he does look too short in early markets. Lupini Monelli has now had two runs back from a spell. First up it appeared that she needed the run and last start was a much improved effort. She had wide draws on both occasions and looks stacks more suited to the inside here. She has run 30.27 both times with things not going her way in the run and can definitely improve on the clock which would be good enough to win this event. ",1. Lupini Monelli,1,4.1,3.1,3.1,-1
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959886,63404146,Back,FALSE,"BACK (WIN) #2 Cain Bale for 1 unit at $4.00+

This is an outstanding race for a regular Free For All event. There are plenty of wide runners in this race with Tinker Norm, Mepunga Mustang and Transponder all likely to mid track. There could be some chaos on the first turn here if Tinker Norm jumps well and spears off at the turn. If this eventuates Cain Bale could get a fantastic run through going into the catching pen and the second half of his race will be very strong and could be in the right place at the right time. ",2. Cain Bale,0,8.8,-1,-1,0.13
1/12/2023,Greyhounds,VIC,The Meadows,Michael Tye,221959891,54738578,Back,FALSE,"BACK (WIN) #1 Edsel Bale for 1.5 units at $5.00+

Edsel Bale had no luck in the early stages here last week from a squeeze draw. He should be able to get a much better run in transit in the early stages and with a soft lead he may give a big sight here and do enough to hold on and win this. ",1. Edsel Bale,0,4.32,-1,-1,0.3
1/12/2023,Harness,QLD,Albion Park,Ryan Spice,221906533,9082166,Back,FALSE,"BACK: #1 Chiseled (PLACE) (Rated at $2.00) 

Frankie Ferocious looks likely to blast over and lead for a long way, feel Chiseled can stalk from leaders back and finish top 3. Brendan Barnes takes the reins for trainer Gemma Hewitt. ",1. Chiseled,0,6.75,-1,-1,0.17
1/12/2023,Harness,QLD,Albion Park,Ryan Spice,221906533,55141906,Lay,FALSE,"LAY: #3 Apollo Dreamz (Up to $3.50)

Apollo Dreamz resumes off a 3-month spell in a hot race and draws very sticky barrier in gate 3, his only trial was only inconclusive.
",3. Apollo Dreamz,0,32,0.03,-1,0.03
1/12/2023,Harness,QLD,Albion Park,Ryan Spice,221906536,41398472,Back,TRUE,"BACK â€“ Mufasa Metro to WIN at odds of $1.80 plus

This guy was involved with Queen Elida at Bendigo in the early burn where they â€œbroke the clockâ€. I am confident aggressive front running driver John Justice will want to hold the top and from there over the short trip will be very hard to run down. 

",1. Mufasa Metro,0,1.5,-1,-1,2
1/12/2023,Harness,QLD,Albion Park,Ryan Spice,221906539,3137709,Lay,TRUE,"LAY â€“ Spirit Of St Louis to WIN at odds of up to $9
	
From inside the back row over the mile this looks a terrible map for this quality horse to overcome. Also taking into consideration the fact that the main chances in the race will be on speed he would need a lot to go in his favor to win and has come up short in pre post markets.    
",8. Spirit Of St Louis,0,8.23,0.14,-1,0.14
